ID,AREA,DEPENDENCIA,DEPENDENCIA SIMPLIF,NOMBRE ESTABLECIMIENTO,NOMBRE + OTRAS DENOMINACIONES,PROVINCIA,MUNICIPIO / DEPARTAMENTO,LOCALIDAD,DIRECCIÓN,DIRECCIÓN CONCAT,OBS,PÁG PDF,LATITUD,LONGITUD
1061,312,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,COMISARIA 8ª DE SANTIAGO DEL ESTERO,COMISARIA 8ª DE SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,,Av. AGUIRRE (S) 790,"COMISARIA 8ª DE SANTIAGO DEL ESTERO, Av. AGUIRRE (S) 790, SANTIAGO DEL ESTERO, SANTIAGO DEL ESTERO, ",,62,-27.8042384,-64.2712315
249,312,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,"DELEGACION ""SANTIAGO DEL ESTERO"" DE LA POLICIA FEDERAL","DELEGACION ""SANTIAGO DEL ESTERO"" DE LA POLICIA FEDERAL",SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,,JUJUY 258,"DELEGACION ""SANTIAGO DEL ESTERO"" DE LA POLICIA FEDERAL, JUJUY 258, SANTIAGO DEL ESTERO, SANTIAGO DEL ESTERO, ",,62,-27.7832538,-64.2620441
627,312,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,DEPARTAMENTO DE INFORMACIONES DE LA POLICIA DE SANTIAGO DEL ESTERO (D-2) ,DEPARTAMENTO DE INFORMACIONES DE LA POLICIA DE SANTIAGO DEL ESTERO (D-2) / SIDE,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,,Av. BELGRANO (S) 1162 e/Av. ALSINA y 3 DE FEBRERO,"DEPARTAMENTO DE INFORMACIONES DE LA POLICIA DE SANTIAGO DEL ESTERO (D-2) / SIDE, Av. BELGRANO (S) 1162 e/Av. ALSINA y 3 DE FEBRERO, SANTIAGO DEL ESTERO, SANTIAGO DEL ESTERO, ",,62,-27.7960763,-64.2558291
368,312,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,ESCUELA DE POLICIA DE SANTIAGO DEL ESTERO,ESCUELA DE POLICIA DE SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,,Av. COLON (S) y LAVALLE,"ESCUELA DE POLICIA DE SANTIAGO DEL ESTERO, Av. COLON (S) y LAVALLE, SANTIAGO DEL ESTERO, SANTIAGO DEL ESTERO, ",,62,-27.8418369,-64.2635076
498,312,UNIDAD PENITENCIARIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,UNIDAD PENAL 1 DE SANTIAGO DEL ESTERO (CARCEL DE VARONES),UNIDAD PENAL 1 DE SANTIAGO DEL ESTERO (CARCEL DE VARONES),SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,,Av. ALSINA 800,"UNIDAD PENAL 1 DE SANTIAGO DEL ESTERO (CARCEL DE VARONES), Av. ALSINA 800, SANTIAGO DEL ESTERO, SANTIAGO DEL ESTERO, ",,62,-27.7990603,-64.2606287
1229,312,UNIDAD PENITENCIARIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,UNIDAD PENAL 2 DE SANTIAGO DEL ESTERO (CARCEL DE MUJERES),UNIDAD PENAL 2 DE SANTIAGO DEL ESTERO (CARCEL DE MUJERES),SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,,POSADAS y Av. MORENO (S),"UNIDAD PENAL 2 DE SANTIAGO DEL ESTERO (CARCEL DE MUJERES), POSADAS y Av. MORENO (S), SANTIAGO DEL ESTERO, SANTIAGO DEL ESTERO, ",,62,-27.8012618,-64.2556035
535,312,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,COMISARIA 40ª DE TERMAS DE RIO HONDO,COMISARIA 40ª DE TERMAS DE RIO HONDO,SANTIAGO DEL ESTERO,RIO HONDO,LAS TERMAS DE RIO HONDO,MARIANO MORENO 192,"COMISARIA 40ª DE TERMAS DE RIO HONDO, MARIANO MORENO 192, SANTIAGO DEL ESTERO, RIO HONDO, LAS TERMAS DE RIO HONDO",,62,-27.498368,-64.865528
658,312,UNIDAD MILITAR EJERCITO,EJÉRCITO,SANTO DOMINGO (CAMPO DE MANIOBRAS),SANTO DOMINGO (CAMPO DE MANIOBRAS),SANTIAGO DEL ESTERO, ROBLES,SANTO DOMING,SIN DIRECCIÓN,"SANTO DOMINGO (CAMPO DE MANIOBRAS), SIN DIRECCIÓN, SANTIAGO DEL ESTERO,  ROBLES, SANTO DOMING","CAMPO DE ENTRENAMIENTO MILITAR ""CNEL. LORENZO LUGONES""",62,-26.2135167,-63.7811183
1140,321,ESTABLECIMIENTO EDUCATIVO,OTROS,ESCUELA DE TIMBO VIEJO,ESCUELA DE TIMBO VIEJO,TUCUMAN,BURRUYACU,TIMBO VIEJO,SIN DIRECCIÓN,"ESCUELA DE TIMBO VIEJO, SIN DIRECCIÓN, TUCUMAN, BURRUYACU, TIMBO VIEJO",,63,-26.6830772,-65.1361779
401,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,BRIGADA DE INVESTIGACIONES DE LA POLICIA DE TUCUMAN,BRIGADA DE INVESTIGACIONES DE LA POLICIA DE TUCUMAN,TUCUMAN,SAN MIGUEL DE TUCUMAN,,Av. SARMIENTO y MUÑECAS,"BRIGADA DE INVESTIGACIONES DE LA POLICIA DE TUCUMAN, Av. SARMIENTO y MUÑECAS, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",,63,-26.8159277,-65.2013266
